,address,brewery_name,rb_links,type,year_opened,geometry
0,"80 Earhart Drive, Williamsville, New York, USA  14221", 12 Gates Brewing Company,/brewers/12-gates-brewing-company/24769/,Commercial Brewery,2015,POINT (-78.7147172 42.9544181)
1,"1337 Lincoln Avenue Unit #1 , Holbrook, New York, USA  11741", 1940s Brewing Company,/brewers/1940s-brewing-company/30364/,Microbrewery,2017,POINT (-73.08328999999999 40.78332899999999)
2,"18 West Main Street, Beacon, New York, USA  12508", 2 Way Brewing Company,/brewers/2-way-brewing-company/21507/,Brewpub/Brewery,2014,POINT (-73.9810105 41.50836750000001)
3,"902 Broadway, 6th Floor, New York, New York, USA  10010", 212 Brewing Company,/brewers/212-brewing-company/22783/,Microbrewery,2009,POINT (-73.989285 40.7393898)
4,"25 Pine Street, East Aurora, New York, USA  14052", 42 North Brewing,/brewers/42-north-brewing/25072/,Brewpub/Brewery,2015,POINT (-78.6078936 42.7686596)
5,"2994 Merritt Hill Road, Penn Yann, New York, USA  14527", Abandon Brewing Company,/brewers/abandon-brewing-company/18337/,Microbrewery,2013,POINT (-77.10491499999999 42.631829)
6,"33 Canada Street, Lake George, New York, USA  12845", Adirondack Pub and Brewery,/brewers/adirondack-pub-and-brewery/3998/,Brewpub,2003,POINT (-73.714111 43.418521)
7,"202A West Main Street, Gouverneur, New York, USA  13642", Adirondack Toboggan Microbrewery,/brewers/adirondack-toboggan-microbrewery/18762/,Microbrewery,2014,POINT (-75.47605899999999 44.331445)
8,"7th Street and Avenue A, East Village, New York, USA  10009", Alphabet City Brewing Company,/brewers/alphabet-city-brewing-company/14401/,Client Brewer,2012,POINT (-73.9835429 40.7260554)
9,"44 N Main Street, Warsaw, New York, USA  14569", Amber Lantern Brewing,/brewers/amber-lantern-brewing/25874/,Brewpub,2016,POINT (-78.1324206 42.7408874)
10,"Blauvelt, New York, USA  10913", Andean Brewing Company,/brewers/andean-brewing-company/14173/,Client Brewer,2012,POINT (-73.95361629999999 41.0711228)
11,"One Main Street, Greenwich, New York, USA  12834", Argyle Brewing Company,/brewers/argyle-brewing-company/19808/,Microbrewery,2014,POINT (-73.49673729999999 43.0876762)
12,"236 Lower Whitfield Road, Accord, New York, USA  12404", Arrowood Farms,/brewers/arrowood-farms/28667/,Microbrewery,2016,POINT (-74.24883179999999 41.8070244)
13,"41 Geyser Road, Saratoga Springs, New York, USA  12866", Artisanal Brew Works,/brewers/artisanal-brew-works/28050/,Microbrewery,2016,POINT (-73.81448999999999 43.059909)
14,"1891 State Route 90 N, King Ferry, New York, USA  13081", Aurora Ale & Lager Company,/brewers/aurora-ale-lager-company/25933/,Microbrewery,2016,POINT (-76.68238099999999 42.709732)
15,"765 Mace Chasm Road , Keeseville, New York, USA  12944", Ausable Brewing Company,/brewers/ausable-brewing-company/21364/,Microbrewery,2014,POINT (-73.44775299999999 44.503003)
16,"15 Ellis Drive, Dryden, New York, USA  13053", Bacchus Brewing Company (NY),/brewers/bacchus-brewing-company-ny/14075/,Microbrewery,2012,POINT (-76.3005106 42.4993567)
17,"114 Cayuga St. , Ithaca, New York, USA  14850", BandWagon Brewpub,/brewers/bandwagon-brewpub/11460/,Brewpub,2010,POINT (-76.4993126 42.4398598)
18,"5411 Shady Avenue, Lowville, New York, USA  13367", BarkEater Craft Brewery,/brewers/barkeater-craft-brewery/19384/,Microbrewery,2014,POINT (-75.4915608 43.7868927)
19,"1693 East Avenue, Barker, New York, USA  14012", Barker Brewing,/brewers/barker-brewing/21859/,Brewpub/Brewery,2015,POINT (-78.5496914 43.3292431)
20,"Bethpage, New York, USA  11714", Barnshed Brewing,/brewers/barnshed-brewing/27995/,Microbrewery,2016,POINT (-73.48283739999999 40.7470968)
21,"32 Allen Blvd Unit E, Farmingdale, New York, USA  11735", Barrage Brewing,/brewers/barrage-brewing/18694/,Microbrewery,2014,POINT (-73.424747 40.716112)
22,"3002 New Street, #2, Oceanside, New York, USA  11572", Barrier Brewing Company,/brewers/barrier-brewing-company/10704/,Microbrewery,2009,POINT (-73.657704 40.6384637)
23,"4 Charles Street, Fort Ann, New York, USA  12827", Battle Hill Brewing Company,/brewers/battle-hill-brewing-company/25052/,Microbrewery,2015,POINT (-73.48738999999999 43.416899)
24,"3760 Quaker Rd., Gasport, New York, USA  14067", Becker Brewing Company,/brewers/becker-brewing-company/10822/,Microbrewery,2009,POINT (-78.56359929999999 43.2231467)
