,address,coffeeshop_name,geometry,yelp_id
0,"The Ace Hotel 20 W 29th St New York, NY 10001",Stumptown Coffee Roasters,POINT (-73.9880916348562 40.7456663381275),stumptown-coffee-roasters-new-york
1,"110 William St Lower Level New York, NY 10038",Voyager Espresso,POINT (-74.0067282 40.7087737),voyager-espresso-new-york
2,"128 W 72nd St New York, NY 10023",Box Kite Coffee,POINT (-73.980026 40.777629),box-kite-coffee-new-york-4
3,"495 Lorimer St Brooklyn, NY 11211",Gimme! Coffee,POINT (-73.94924899999999 40.711696),gimme-coffee-brooklyn
4,"75 9th Ave New York, NY 10011",Ninth Street Espresso,POINT (-74.0060007320855 40.7423824065482),ninth-street-espresso-new-york-6
5,"79 E 10th St New York, NY 10003",City of Saints Coffee Roasters,POINT (-73.99007659999999 40.7311385),city-of-saints-coffee-roasters-new-york
6,"134 1/2 E 62nd St New York, NY 10065",Birch Coffee,POINT (-73.96658425263981 40.7638444066087),birch-coffee-new-york-8
7,"406 Marcus Garvey Blvd Brooklyn, NY 11216",Bohaus,POINT (-73.93831 40.68294),bohaus-brooklyn-2
8,"275 7th Ave New York, NY 10001",Seven Grams Caffe,POINT (-73.99414 40.74554),seven-grams-caffe-new-york-3
9,"30 Broad St New York, NY 10004",Bluestone Lane,POINT (-74.01182954299161 40.7063436944471),bluestone-lane-new-york-11
10,"125 N 6th St Brooklyn, NY 11249",Toby's Estate Coffee,POINT (-73.95921 40.71796),tobys-estate-coffee-brooklyn
11,"102 E 23rd St New York, NY 10010",Mywaycup Coffee,POINT (-73.9860941258456 40.7400207592455),mywaycup-coffee-new-york
12,"160 Berry St Brooklyn, NY 11211",Blue Bottle Coffee,POINT (-73.960623 40.717416),blue-bottle-coffee-brooklyn-2
13,"270 Lafayette St New York, NY 10012",La Colombe Coffee,POINT (-73.99643 40.72396),la-colombe-coffee-new-york-2
14,"67 Wall St New York, NY 10005",La Colombe Coffee,POINT (-74.0083486272612 40.7056896627839),la-colombe-coffee-new-york-3
15,"155 E 52nd St New York, NY 10022",Ground Central,POINT (-73.970321 40.757575),ground-central-new-york
16,"158 Bedford Ave Brooklyn, NY 11249",Cafe Beit,POINT (-73.95710939999999 40.718678),cafe-beit-brooklyn-2
17,"Orchard Street Plant 81 Orchard St New York, NY 10002",Roasting Plant,POINT (-73.99051 40.71781),roasting-plant-new-york-4
18,"405 W 23rd St New York, NY 10011",Joe Coffee,POINT (-74.00167029976051 40.7469020720739),joe-coffee-new-york-7
19,"420 5th Ave New York, NY 10018",Hole in the Wall Coffee,POINT (-73.98337554931641 40.7508316040039),hole-in-the-wall-coffee-new-york
20,"99 Allen St New York, NY 10002",Round K,POINT (-73.990966 40.718906),round-k-new-york
21,"326 W 47th St New York, NY 10036",Frisson Espresso,POINT (-73.98899841308589 40.7608108520508),frisson-espresso-new-york
22,"301 W Broadway New York, NY 10013",Everyman Espresso,POINT (-74.0044096 40.7213607),everyman-espresso-new-york-2
23,"2730 Broadway New York, NY 10025",Plowshares Coffee Roasters,POINT (-73.96778865257819 40.800136083235),plowshares-coffee-roasters-new-york-2
24,"72 W 38th St New York, NY 10018",Culture Espresso,POINT (-73.985756306206 40.7521922375529),culture-espresso-new-york
25,"240 Sullivan St New York, NY 10012",Third Rail Coffee,POINT (-73.99959 40.72994),third-rail-coffee-new-york
26,"356 Throop Ave Brooklyn, NY 11221",Burly Coffee,POINT (-73.94277409999999 40.6920973),burly-coffee-brooklyn
27,"253 W 51 St New York, NY 10019",Bibble & Sip,POINT (-73.98518 40.76283),bibble-and-sip-new-york-2
28,"114 Greenpoint Ave Brooklyn, NY 11222",BÚÐIN,POINT (-73.95622400000001 40.729767),búðin-brooklyn
29,"76 Fulton St New York, NY 10038",R & R Coffee,POINT (-74.0054779 40.7089119),r-and-r-coffee-new-york
