,address,brewery_name,geometry,yelp_id
0,"40 Van Dyke St Brooklyn, NY 11231",Sixpoint Brewery,POINT (-74.01186370849609 40.6740226745605),sixpoint-brewery-brooklyn
1,"46-01 5th St Long Island City, NY 11101",Rockaway Brewing Company,POINT (-73.95495344047551 40.7470981842068),rockaway-brewing-company-long-island-city
2,"101 Luquer St Brooklyn, NY 11231",Folksbier,POINT (-74.00120544433589 40.6781272888184),folksbier-brooklyn
3,"195 Centre St Brooklyn, NY 11231",Other Half Brewing,POINT (-73.99909220000001 40.6738735),other-half-brewing-brooklyn
4,"333 Douglass St Brooklyn, NY 11217",Threes Brewing,POINT (-73.98227 40.67963),threes-brewing-brooklyn
5,"574 A President St Brooklyn, NY 11215",Strong Rope Brewery,POINT (-73.9841383 40.6768103),strong-rope-brewery-brooklyn
6,"79 N 11th St Brooklyn, NY 11211",The Brooklyn Brewery,POINT (-73.95762999999999 40.7216),the-brooklyn-brewery-brooklyn
7,"381 Troutman St Brooklyn, NY 11237",Kings County Brewers Collective,POINT (-73.9236054652601 40.7060738809209),kings-county-brewers-collective-brooklyn
8,"11 E 36th St New York, NY 10016",The Ginger Man,POINT (-73.98269999999999 40.74945),the-ginger-man-new-york
9,"39-28 23rd St Long Island City, NY 11101",LIC Beer Project,POINT (-73.939375 40.7548729),lic-beer-project-long-island-city
10,"8-08 43rd Rd Long Island City, NY 11101",Big Alice Brewing,POINT (-73.9505905 40.7520775),big-alice-brewing-long-island-city
11,"15-35 Decatur St Ridgewood, NY 11385",Bridge and Tunnel Brewery,POINT (-73.9030978 40.6935067),bridge-and-tunnel-brewery-ridgewood
12,"53-02 11th St Ste A Long Island City, NY 11101",Transmitter Brewing,POINT (-73.9527181 40.7402434),transmitter-brewing-long-island-city
13,"700 Washington Ave Brooklyn, NY 11238",Bitter & Esters,POINT (-73.96388 40.67705),bitter-and-esters-brooklyn
14,"78-01 77th Ave Ridgewood, NY 11385",Finback Brewery,POINT (-73.87317779999999 40.7065426),finback-brewery-ridgewood
15,"15 E 7th St New York, NY 10003",McSorleys Old Ale House,POINT (-73.98965 40.72884),mcsorleys-old-ale-house-new-york
16,"19-33 37th St Astoria, NY 11105",SingleCut Beersmiths,POINT (-73.9016724 40.7782784),singlecut-beersmiths-astoria
17,"97 Nassau Ave Brooklyn, NY 11222",Keg & Lantern Brewing Company,POINT (-73.95037000000001 40.724117),keg-and-lantern-brewing-company-brooklyn
18,"54-58 Pearl Street 58 Pearl St New York, NY 10004",The Porterhouse Brewing Company,POINT (-74.011177 40.703392),the-porterhouse-brewing-company-new-york
19,"40 Minthorne St Staten Island, NY 10301",Flagship Brewing,POINT (-74.0755918 40.6372153),flagship-brewing-staten-island
20,"479 74th St Brooklyn, NY 11209",The Owl's Head,POINT (-74.02266 40.63062),the-owls-head-brooklyn
21,"55 Stone St New York, NY 10004",The Growler Bites & Brews,POINT (-74.0102791786194 40.7044362276793),the-growler-bites-and-brews-new-york
22,"856 E 136th St Bronx, NY 10454",The Bronx Brewery,POINT (-73.910599 40.8019015),the-bronx-brewery-bronx
23,"1904 Surf Ave Brooklyn, NY 11224",Coney Island Brewery,POINT (-73.984725 40.573917),coney-island-brewery-brooklyn
24,"942 Grand St Brooklyn, NY 11211",Interboro Spirits and Ales,POINT (-73.93691 40.7126),interboro-spirits-and-ales-brooklyn
25,"265 Bowery New York, NY 10002",Paulaner,POINT (-73.99245999999999 40.72341),paulaner-new-york
26,"3227 Laconia Ave Bronx, NY 10469",Gun Hill Brewing Company,POINT (-73.8559265136719 40.8721122741699),gun-hill-brewing-company-bronx
27,"20 Kinsey Pl Staten Island, NY 10303",Staten Island Beer Company,POINT (-74.169563293457 40.6287803649902),staten-island-beer-company-staten-island
28,"114 Greenpoint Ave Brooklyn, NY 11222",BÚÐIN,POINT (-73.95622400000001 40.729767),búðin-brooklyn
29,"415 Beach 72nd St Rockaway, NY 11692",Rockaway Brewing Company at the Beach,POINT (-73.800967 40.593017),rockaway-brewing-company-at-the-beach-rockaway-2
30,"150 Bay St Ste 2A Jersey City, NJ 07302",Departed Soles Brewing Co,POINT (-74.03972 40.72081),departed-soles-brewing-co-jersey-city
